iter	Passed	Remaining
0	48	29296
1	106	31933
2	152	30307
3	204	30469
4	250	29861
5	296	29360
6	342	29002
7	389	28845
8	434	28550
9	478	28222
10	526	28173
11	569	27915
12	619	27953
13	662	27749
14	714	27846
15	758	27694
16	805	27635
17	851	27543
18	896	27422
19	948	27498
20	1002	27641
21	1047	27516
22	1097	27540
23	1145	27490
24	1190	27381
25	1237	27322
26	1280	27182
27	1325	27077
28	1371	27013
29	1422	27020
30	1464	26882
31	1509	26802
32	1555	26720
33	1601	26663
34	1646	26579
35	1691	26500
36	1736	26429
37	1781	26349
38	1822	26222
39	1864	26096
40	1906	25988
41	1950	25910
42	1994	25839
43	2035	25725
44	2077	25624
45	2117	25507
46	2167	25499
47	2211	25432
48	2251	25319
49	2291	25208
50	2339	25182
51	2381	25100
52	2425	25028
53	2476	25043
54	2524	25019
55	2582	25091
56	2635	25103
57	2686	25104
58	2735	25080
59	2787	25091
60	2833	25039
61	2880	24998
62	2932	24999
63	2976	24930
64	3021	24867
65	3066	24807
66	3115	24787
67	3172	24823
68	3227	24840
69	3277	24816
70	3319	24733
71	3357	24623
72	3406	24591
73	3448	24508
74	3488	24421
75	3531	24349
76	3572	24267
77	3616	24200
78	3658	24126
79	3699	24047
80	3737	23948
81	3779	23878
82	3820	23794
83	3859	23706
84	3902	23644
85	3948	23599
86	3990	23531
87	4034	23472
88	4081	23431
89	4121	23357
90	4162	23281
91	4203	23211
92	4244	23140
93	4287	23079
94	4331	23025
95	4369	22940
96	4412	22878
97	4458	22838
98	4500	22774
99	4539	22699
100	4583	22646
101	4623	22573
102	4666	22517
103	4706	22447
104	4749	22388
105	4788	22315
106	4831	22260
107	4874	22207
108	4920	22163
109	4965	22118
110	5005	22049
111	5048	21995
112	5092	21947
113	5132	21882
114	5174	21824
115	5215	21760
116	5257	21703
117	5303	21661
118	5350	21626
119	5390	21560
120	5430	21496
121	5473	21445
122	5513	21381
123	5556	21330
124	5598	21273
125	5639	21215
126	5681	21159
127	5720	21095
128	5761	21037
129	5798	20964
130	5844	20925
131	5885	20865
132	5932	20829
133	5973	20774
134	6015	20719
135	6054	20657
136	6096	20603
137	6137	20548
138	6177	20486
139	6217	20429
140	6256	20366
141	6294	20301
142	6333	20241
143	6378	20199
144	6421	20150
145	6461	20092
146	6501	20034
147	6541	19976
148	6582	19925
149	6623	19871
150	6665	19820
151	6706	19765
152	6746	19710
153	6786	19655
154	6828	19605
155	6867	19545
156	6907	19489
157	6948	19439
158	6990	19388
159	7030	19334
160	7072	19285
161	7111	19227
162	7151	19171
163	7192	19121
164	7234	19071
165	7274	19017
166	7312	18958
167	7353	18909
168	7395	18860
169	7432	18800
170	7474	18752
171	7512	18694
172	7550	18637
173	7588	18579
174	7631	18533
175	7671	18481
176	7708	18423
177	7749	18373
178	7789	18320
179	7827	18265
180	7865	18207
181	7909	18165
182	7951	18118
183	7989	18063
184	8028	18008
185	8066	17954
186	8108	17908
187	8149	17859
188	8188	17805
189	8228	17755
190	8274	17717
191	8313	17665
192	8347	17602
193	8387	17552
194	8435	17519
195	8472	17464
196	8511	17411
197	8551	17363
198	8592	17313
199	8630	17261
200	8670	17211
201	8709	17159
202	8751	17115
203	8793	17070
204	8831	17016
205	8872	16969
206	8916	16927
207	8961	16889
208	8999	16836
209	9039	16788
210	9079	16739
211	9120	16691
212	9157	16638
213	9195	16585
214	9238	16543
215	9279	16497
216	9316	16442
217	9356	16394
218	9398	16350
219	9439	16303
220	9480	16258
221	9519	16209
222	9559	16160
223	9601	16116
224	9635	16058
225	9676	16012
226	9718	15968
227	9758	15921
228	9796	15871
229	9836	15824
230	9878	15780
231	9916	15729
